Port-Channel,Bundle ID,Name,Status,Protocol,Flags,Member01,Member02,Member03,Member04,Member05,Member06,Member07,Member08
Port-channel1,1,Port-channel1,up,lacp,RU,TenGigabitEthernet1/1/1, TenGigabitEthernet2/1/1
Port-channel2,2,Port-channel2,up,lacp,SU,TenGigabitEthernet1/1/2, TenGigabitEthernet2/1/2
Port-channel3,3,Port-channel3,up,lacp,SU,TenGigabitEthernet1/1/3, TenGigabitEthernet2/1/3
Port-channel4,4,Port-channel4,up,lacp,SU,TenGigabitEthernet1/1/4, TenGigabitEthernet2/1/4
Port-channel5,5,Port-channel5,up,lacp,SU,TenGigabitEthernet1/1/6
Port-channel6,6,Port-channel6,up,lacp,SU,TenGigabitEthernet1/1/5, TenGigabitEthernet2/1/5
Port-channel7,7,Port-channel7,up,lacp,SU,TenGigabitEthernet1/1/7, TenGigabitEthernet2/1/7
Port-channel8,8,Port-channel8,up,lacp,SU,TenGigabitEthernet1/1/8
Port-channel9,9,Port-channel9,up,lacp,SU,TenGigabitEthernet1/1/9, TenGigabitEthernet2/1/9
Port-channel10,10,Port-channel10,up,lacp,SU,TenGigabitEthernet1/1/10, TenGigabitEthernet2/1/10
Port-channel11,11,Port-channel11,up,lacp,SU,TenGigabitEthernet2/1/11
Port-channel12,12,Port-channel12,down,Mode On,SD,No Members
Port-channel13,13,Port-channel13,down,Mode On,SD,No Members
Port-channel14,14,Port-channel14,up,lacp,SU,TenGigabitEthernet2/1/8
Port-channel20,20,Port-channel20,up,lacp,SU,TenGigabitEthernet1/1/12, TenGigabitEthernet2/1/12
Port-channel22,22,Port-channel22,down,Mode On,SD,No Members
Port-channel50,50,Port-channel50,up,Mode On,SU,TenGigabitEthernet1/1/15, TenGigabitEthernet1/1/16
Port-channel60,60,Port-channel60,up,Mode On,SU,TenGigabitEthernet2/1/15, TenGigabitEthernet2/1/16
Port-channel100,100,Port-channel100,up,lacp,SU,TenGigabitEthernet1/1/13, TenGigabitEthernet2/1/13
